model,Accuracy,Precision,Recall,FOne,AUC,TP,FP,FN,TN
XGBoostNoFeatureEngineeringPCA,0.870532703978422,0.998236331569665,0.747688243064729,0.854984894259819,0.960204300723095,566,1,191,725
SVMNoFeatureEngineering,0.865812542144302,1,0.737120211360634,0.848669201520913,0.98747593625701,558,0,199,726
SVMNoFeatureEngineeringPCA,0.847606203641268,1,0.701453104359313,0.824534161490683,0.965803101266053,531,0,226,726
RandomForestWithFeatureEngineering,0.808496291301416,0.782556750298686,0.865257595772787,0.821831869510665,0.909645876320549,655,182,102,544
XGBoostNoFeatureEngineering,0.771409305461902,0.995260663507109,0.554821664464993,0.712468193384224,0.97556142668428,420,2,337,724
RandomForestNoFeatureEngineeringPCA,0.759946055293324,0.983132530120482,0.538969616908851,0.696245733788396,0.943020331815816,408,7,349,719
SVMWithFeatureEngineering,0.740391099123399,0.764204545454546,0.710700132100396,0.736481861738535,0.821073106470008,538,166,219,560
RandomForestNoFeatureEngineering,0.73229939312205,0.994505494505494,0.478203434610304,0.645851917930419,0.972153382024884,362,2,395,724
SVMWithFeatureEngineeringPCA,0.730950775455158,0.803389830508475,0.626155878467635,0.703786191536748,0.836235539009647,474,116,283,610
XGBoostWithFeatureEngineering,0.601483479433581,0.796428571428572,0.294583883751651,0.430086788813886,0.719899851159609,223,57,534,669
XGBoostWithFeatureEngineeringPCA,0.601483479433581,0.796428571428572,0.294583883751651,0.430086788813886,0.719899851159609,223,57,534,669
RandomForestWithFeatureEngineeringPCA,0.571813890761969,0.690625,0.291941875825627,0.410399257195915,0.714461172309137,221,99,536,627
