"XGB","SVM","RF","label"
0.978695493191481,0.949939730583951,0.892,"Natural"
0.002269446849823,0.00275730189575452,0.002,"Drowsy"
0.995537620969117,0.999130460461448,0.924,"Natural"
0.908024743199348,0.264550170425,0.824,"Natural"
0.987204880453646,0.998179185663592,0.882,"Natural"
0.969972357153893,0.99826104142004,0.89,"Natural"
0.990120521746576,0.998416641861743,0.856,"Natural"
0.00177091360092163,0.00803212980027079,0,"Drowsy"
0.00152724981307983,0.00413698062308954,0.016,"Drowsy"
0.0136533379554749,0.0139264862858306,0.054,"Drowsy"
0.00646710395812988,0.0143525576050115,0,"Drowsy"
0.998374836519361,0.999661666999528,0.856,"Natural"
0.999432902724948,0.996609552279363,0.98,"Natural"
0.939886674284935,0.988924203533504,0.838,"Natural"
0.0189530253410339,0.015386288750691,0.162,"Drowsy"
0.999403191555757,0.992927555561179,0.964,"Natural"
0.0121177434921265,0.0154253644847605,0.112,"Drowsy"
0.99981966035557,0.999835000315228,0.858,"Natural"
0.946819931268692,0.941577088713741,0.904,"Natural"
0.000929296016693115,0.0179151028302075,0.094,"Drowsy"
0.00286602973937988,0.00658877915642331,0.018,"Drowsy"
0.957212708890438,0.988915059415466,0.824,"Natural"
0.0234403014183044,0.00905704660600215,0.09,"Drowsy"
0.947809677571058,0.9889344224145,0.816,"Natural"
0.998143918346614,0.990879637244674,0.99,"Natural"
0.999398147105239,0.995769692684049,0.984,"Natural"
0.00205117464065552,0.0118789720279019,0.066,"Drowsy"
0.907229863107204,0.958322086080522,0.878,"Natural"
0.00198006629943848,0.00497738597904462,0.1,"Drowsy"
0.0211959481239319,0.0160680909978754,0.098,"Drowsy"
0.997485511237755,0.999244281971247,0.988,"Natural"
0.0332754850387573,0.0153766627518261,0.172,"Drowsy"
0.996994253946468,0.997979342260324,0.994,"Natural"
0.995438186451793,0.98891094964979,0.966,"Natural"
0.0043872594833374,0.00104138817714972,0.186,"Drowsy"
0.999614168569678,0.999874225000337,0.986,"Natural"
0.991505119018257,0.992099411861875,0.97,"Natural"
0.998146645142697,0.999185646773849,0.99,"Natural"
0.999294778273907,0.999834055881849,0.988,"Natural"
0.0260674357414246,0.0110908681729146,0.092,"Drowsy"
0.0126751661300659,0.015411456054281,0.124,"Drowsy"
0.995433145202696,0.993670323574452,0.974,"Natural"
0.996311791474,0.998732576559004,0.946,"Natural"
0.0157372355461121,0.00120250819739065,0.168,"Drowsy"
0.994920201599598,0.994563752206746,0.966,"Natural"
0.853678211569786,0.631675307834106,0.844,"Natural"
0.999549029947957,0.995461967683218,0.958,"Natural"
0.997429379029199,0.999397406447352,0.984,"Natural"
0.999248768843245,0.994895625119241,0.976,"Natural"
0.997905559604988,0.994215826549263,0.976,"Natural"
0.246620178222656,0.658635103335019,0.176,"Drowsy"
0.999846930266358,0.998904893729523,0.992,"Natural"
0.998818190768361,0.999884619803233,0.986,"Natural"
0.0173488259315491,0.0153838098681842,0.15,"Drowsy"
0.026197075843811,0.00366328857130327,0.176,"Drowsy"
0.999812060515978,0.999827727157514,0.98,"Natural"
0.998834894038737,0.996649348688783,0.962,"Natural"
0.994873273186386,0.966538616001689,0.87,"Natural"
0.000723421573638916,0.00429805498851832,0.13,"Drowsy"
0.997661128407344,0.996185609351813,0.942,"Natural"
0.969095131382346,0.991698988729437,0.822,"Natural"
0.00690239667892456,0.00806115694176135,0.018,"Drowsy"
0.999747030378785,0.998919414065592,0.956,"Natural"
0.997177683748305,0.999871826357887,0.974,"Natural"
0.0109275579452515,0.00752348220313581,0.038,"Drowsy"
0.00570118427276611,0.0122827398395349,0.068,"Drowsy"
0.000227272510528564,0.00112256673753564,0.018,"Drowsy"
0.122230589389801,0.133355008793807,0.158,"Drowsy"
0.00252240896224976,0.00464489495935283,0.018,"Drowsy"
0.0397230386734009,0.0143874629896457,0.096,"Drowsy"
0.998801860143431,0.995737022679679,0.95,"Natural"
0.00359535217285156,0.0101537121268018,0.058,"Drowsy"
0.0915120244026184,0.151188999512687,0.18,"Drowsy"
0.99818956584204,0.993490994385769,0.928,"Natural"
0.99480576813221,0.994393209425265,0.894,"Natural"
0.998574381694198,0.993398322104841,0.996,"Natural"
0.00515377521514893,0.0116496419630098,0.052,"Drowsy"
0.0229347944259644,0.00101963249550774,0.14,"Drowsy"
0.998704735422507,0.993472199994107,0.972,"Natural"
0.960878901183605,0.945908400914793,0.866,"Natural"
0.992733246646821,0.999296592885021,0.984,"Natural"
0.0975592732429504,0.190226218414988,0.174,"Drowsy"
0.00249773263931274,0.00964139078390047,0.036,"Drowsy"
0.999188112327829,0.996705186814016,0.982,"Natural"
